filename,original_path,overall_quality,final_label,quality_pattern,recommendations,processing_time
OD_11592159.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592159.jpg,Bad Quality,BAD,NYNY,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,4.193394660949707
OD_11592210.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592210.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6502809524536133
OD_11592224.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592224.jpg,Bad Quality,BAD,NYNY,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.7473857402801514
OD_11592300.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592300.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.5856955051422119
OD_11592310.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592310.jpg,Bad Quality,BAD,NYNY,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.3430747985839844
OD_11592343.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592343.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6942777633666992
OD_11592372.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592372.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.5758428573608398
OD_11592381.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592381.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6057171821594238
OD_11592409.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592409.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6350886821746826
OD_11592448.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592448.jpg,Bad Quality,BAD,NYNY,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.714184284210205
OD_11592452.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592452.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6001055240631104
