filename,original_path,overall_quality,final_label,quality_pattern,recommendations,processing_time
OD_11592159.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592159.jpg,Bad Quality,BAD,NYNY,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.831082820892334
OD_11592210.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592210.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6471102237701416
OD_11592224.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592224.jpg,Bad Quality,BAD,NYNY,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.273951768875122
OD_11592300.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592300.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.60691237449646
OD_11592310.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592310.jpg,Bad Quality,BAD,NYNY,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.2337605953216553
OD_11592343.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592343.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6398179531097412
OD_11592372.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592372.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.613349199295044
OD_11592381.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592381.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6182732582092285
OD_11592409.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592409.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6152284145355225
OD_11592448.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592448.jpg,Bad Quality,BAD,NYNY,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.2804365158081055
OD_11592452.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592452.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6360700130462646
OD_11592458.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592458.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6799201965332031
OD_11592498.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592498.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6700263023376465
OD_11592540.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592540.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6209537982940674
OD_11592568.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592568.jpg,Bad Quality,BAD,NYNY,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.528610944747925
OD_11592592.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592592.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6822090148925781
OD_11592619.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592619.jpg,Bad Quality,BAD,NYNY,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.582986831665039
OD_11592629.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592629.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6498804092407227
OD_11592726.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592726.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6447505950927734
OD_11592746.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592746.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6045656204223633
OD_11592771.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592771.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6469144821166992
OD_11592822.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592822.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6713268756866455
OD_11592838.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592838.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6496944427490234
OD_11593065.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593065.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6496164798736572
OD_11593068.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593068.jpg,Bad Quality,BAD,NYNY,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.4037656784057617
OD_11593069.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593069.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6053943634033203
OD_11593090.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593090.jpg,Bad Quality,BAD,NYNY,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.3594324588775635
OD_11593099.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593099.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6263694763183594
OD_11593107.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593107.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6844146251678467
OD_11593110.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593110.jpg,Bad Quality,BAD,NYNY,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.323843240737915
OD_11593116.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593116.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6816318035125732
OD_11593117.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593117.jpg,Bad Quality,BAD,YYNY,Ensure camera is properly focused on the eye,3.2977612018585205
OD_11593121.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593121.jpg,Not Assessed - No Eye,BAD,,Ensure eye is visible and centered in the image,0.41620564460754395
OD_11593206.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593206.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.648097038269043
OD_11593374.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593374.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6187148094177246
OD_11593382.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593382.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6343951225280762
OD_11593402.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593402.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6095778942108154
OD_11593423.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593423.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6165530681610107
OD_11593425.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593425.jpg,Bad Quality,BAD,NYNY,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.347893714904785
OD_11593431.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593431.jpg,Bad Quality,BAD,NYNN,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye; Adjust lighting angle to minimize reflections,3.2942123413085938
OD_11593483.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593483.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6455464363098145
OD_11593517.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593517.jpg,Bad Quality,BAD,NYNY,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.7187821865081787
OD_11593533.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593533.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6260299682617188
OD_11593615.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593615.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6154112815856934
OD_11593627.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593627.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.587721586227417
OD_11593677.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593677.jpg,Bad Quality,BAD,NYNY,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.224855899810791
OD_11593705.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11593705.jpg,Not Assessed - Bad Lighting,BAD,,Ensure uniform lighting across the entire eye area,0.6814439296722412
