filename,original_path,overall_quality,final_label,quality_pattern,recommendations,processing_time
OD_11592159.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592159.jpg,Bad Quality,BAD,NYNY,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,4.559096813201904
OD_11592210.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592210.jpg,Bad Quality,BAD,NYNY,Ensure uniform lighting across the entire eye area; Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.7466039657592773
OD_11592224.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592224.jpg,Bad Quality,BAD,NYNY,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.6547434329986572
OD_11592300.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592300.jpg,Bad Quality,BAD,NYNY,Ensure uniform lighting across the entire eye area; Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.618927478790283
OD_11592310.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592310.jpg,Bad Quality,BAD,NYNY,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.375790596008301
OD_11592343.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592343.jpg,Bad Quality,BAD,NYNY,Ensure uniform lighting across the entire eye area; Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.467663526535034
OD_11592372.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592372.jpg,Bad Quality,BAD,YYNY,Ensure uniform lighting across the entire eye area; Ensure camera is properly focused on the eye,3.6874780654907227
OD_11592381.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592381.jpg,Bad Quality,BAD,NYNY,Ensure uniform lighting across the entire eye area; Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.428266763687134
OD_11592409.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592409.jpg,Bad Quality,BAD,NNNY,Ensure uniform lighting across the entire eye area; Use higher resolution camera or move closer; Ensure entire cornea is visible in frame; Ensure camera is properly focused on the eye,3.591759204864502
OD_11592448.jpg,C:\Users\shivam.prajapati\Desktop\tele_crop_images\OD_11592448.jpg,Bad Quality,BAD,NYNY,Use higher resolution camera or move closer; Ensure camera is properly focused on the eye,3.600372314453125
